id,status,guest,host,cabinet,date,guestid,title,unregistered,participants
0aead7eedd2da71450f84c8d53b93d34,registered,,Pauline Rouch,Cabinet members of President Jean-Claude Juncker,2015-01-19T00:00:00,95ce593ef1a1400ea07f2c5dec273da4,Digital Single Market,,1
55c369cc6dcf45a45144d89bdfdb372d,registered,,Pauline Rouch,Cabinet members of President Jean-Claude Juncker,2015-01-19T00:00:00,ba43872843a24bfabb259ae1ef966e4b,Digital Single Market,,1
53955ee20af0916bde7459b756f73e21,registered,,Paulina Dejmek Hack,Cabinet members of President Jean-Claude Juncker,2015-01-16T00:00:00,2324d259b9c04892950c39334738bf73,Priorities of the new Commission in the area of Financial Services,,1
ed0f671ae02c0b332caeb35939277e51,registered,,Paulina Dejmek Hack,Cabinet members of President Jean-Claude Juncker,2015-01-16T00:00:00,33597e7ffaf946858596408dcfe122d2,Priorities of the new Commission in the area of Financial Services,,1
7cf2391cb07a9058a58df7a5d006e21e,registered,,Paulina Dejmek Hack,Cabinet members of President Jean-Claude Juncker,2015-01-16T00:00:00,8fdcfd835fb64f14be6c3cffe3f4623c,Capital Markets Union,,1
0ea3b501bd18b466557bd9af89857141,registered,,Antoine Kasel,Cabinet members of President Jean-Claude Juncker,2015-01-15T00:00:00,553809c289c74395993953b64d407835,Meeting on principles of scientific advice,,1
4b752a013fc828930b7d4758b6032873,registered,,Telmo Baltazar,Cabinet members of President Jean-Claude Juncker,2015-01-15T00:00:00,0c8ebebcfc2f4e3eb6a6684f3d35d3db,Climate Action and Investment in Europe,,1
31f465cef1ab12374a915260dca1fc1d,registered,,Martin Selmayr,Cabinet members of President Jean-Claude Juncker,2015-01-09T00:00:00,edfc49a50a0945a0a575a98013ed3cb8,Investment Plan,,1
a0375f433c664dc00e0de145df49beae,registered,,Martin Selmayr,Cabinet members of President Jean-Claude Juncker,2015-01-09T00:00:00,88346ef5e7fa4080b3b9bdde06feefd9,Outside EU-investments,,1
5ac50bb3ecbb4f7b4d62a9523d4b7704,registered,,Luc Tholoniat,Cabinet members of President Jean-Claude Juncker,2015-01-08T00:00:00,29c9c54f8dba45ef987a7869f1fc3003,Economic and industrial priorities of the EU,,1
c1d79dd01ebbce086e8c420c393df363,registered,,Telmo Baltazar,Cabinet members of President Jean-Claude Juncker,2015-01-08T00:00:00,ae3c4ac1b2f14e28be2eb3c77c5ccb0c,Energy Union,,1
5b4b63815b57700f16402029f2910d47,registered,,Luc Tholoniat,Cabinet members of President Jean-Claude Juncker,2015-01-08T00:00:00,4455ab5dd3eb4f4493998d02bd3150b7,Priorités économiques et sociales,,1
39ca65e95cce9beaa184f348508764ca,registered,,Commissioner Cecilia Malmström,,2015-03-19T00:00:00,b663641d3ea84cea80b1f488532a89b8,TTIP,,1
8cb0303e278f817e3172d6546532918e,registered,,Pauline Rouch,Cabinet members of President Jean-Claude Juncker,2015-01-07T00:00:00,bdc69fb5dbb34a879a0296094ebd9c16,Digital Single Market,,1
